,model,epoch,t_loss,v_loss,t_f1,v_f1,t_pr_auc,v_pr_auc
0, bert-databreachprocessing,99,0.006166401937662158,0.005425997660495341,0.9955555555555555,1.0,1.0,1.0
1, bert-firstparty,99,0.00020733335704621654,0.00029766498009090964,1.0,1.0,1.0,0.9999999999999996
2, bert-dataactivitypurpose,99,0.0009657857338672383,0.002699460620476657,1.0,0.9957446808510638,1.0,1.0
3, bert-legalbasis,99,0.00041916238493892405,0.0007383039344025141,1.0,1.0,0.9999999999999999,1.0000000000000002
4, bert-policychange,98,0.000873579509592067,0.0008240130029864506,0.9986789960369881,0.9953917050691244,0.9999930565199278,1.0
5, bert-policyacceptancetime,95,0.00014069022970236093,0.0008735867410602319,1.0,0.9411764705882353,1.0,1.0000000000000002
6, bert-datause,99,0.03647851979109907,0.04988801403750484,0.9806167400881057,0.9800687285223367,0.9984674146852347,0.9975126356009743
7, bert-dataprotection,99,0.004056836505734888,0.007083183907929601,0.9978331527627302,0.9974489795918368,0.9999232231273509,0.9998356144367055
8, bert-securitymechanism,99,7.696283783076296e-05,8.828781803534487e-05,1.0,1.0,1.0,1.0
9, bert-fpcollection,99,0.038798163871433644,0.06211944892371927,0.9874675885911841,0.9707964601769912,0.9996133237648228,0.9972137983406941
10,bert-user,99,0.000220976102230864,0.00032829340886584045,1.0,1.0,0.9999999999999999,1.0
11,bert-userspecificcommunicationmechanism,99,0.00044345872568859096,0.001003901707008481,1.0,1.0,1.0,1.0
12,bert-thirdparty,99,0.00011608280418684558,6.202240826446036e-05,1.0,1.0,0.9999999999999998,0.9999999999999996
13,bert-tpsharing,99,0.0075635184374884075,0.011500954376970185,0.9977289931869796,0.9980506822612085,0.9998898025436138,0.9999653765610956
14,bert-dataretention,99,0.0036026309967650484,0.004824844334507361,0.9986357435197817,1.0,0.9999925956640209,0.9999999999999999
15,bert-dataretentiontime,99,0.00044441276691031817,0.0015949594162520953,1.0,1.0,0.9999999999999999,0.9999999999999996
16,bert-fpnotification,99,0.0012003527979340149,0.002027557086876186,0.9971671388101983,0.9953917050691244,0.9999920426513884,0.9998346970824032
17,bert-usernotification,98,0.0032613821373767373,0.006969182723171091,0.9993247805536799,0.9991341991341991,0.9999820302574525,1.0
18,bert-advertisingdatacontrol,99,0.0005567813666727618,0.0014246540136809926,1.0,1.0,0.9999999999999997,1.0
19,bert-optinoptoutcontrol,99,0.009776747971727673,0.020634910856945982,0.9965397923875432,0.9955406911928651,0.9999254308565053,0.9996855998267135
20,bert-personaldata,99,0.0017480113130813695,0.0016965785152020121,0.9983739837398374,1.0,0.9999583749583749,1.0
21,bert-financialdata,99,0.0004406241938947157,0.00023926538536519124,0.9090909090909091,1.0,1.0,1.0
22,bert-applicationdata,99,0.0002735722370165273,0.0002510962178803311,1.0,1.0,1.0,1.0
23,bert-accountdata,99,8.407576372349013e-05,0.00018956124377685532,1.0,1.0,1.0,0.9999999999999998
24,bert-trackingdata,98,0.0002628232524012712,0.0003298341968173999,1.0,1.0,1.0,1.0000000000000002
25,bert-technicalsecuritymeasure,99,5.312788272519919e-05,2.4324635238112285e-05,1.0,1.0,1.0,1.0
26,bert-organizationalsecuritymeasure,98,3.1471646161662646e-05,0.00010517267696741328,1.0,1.0,1.0,1.0
27,bert-pseudoanonymization,99,8.833699201507747e-05,7.875367276710676e-05,1.0,1.0,1.0,1.0
28,bert-viaserviceapp,98,0.00019537656771717593,0.0002039713981503155,1.0,1.0,1.0000000000000002,1.0
29,bert-viawebsite,99,0.0001347061392074184,0.00020430728662696701,1.0,1.0,0.9999999999999999,0.9999999999999999
30,bert-websiteform,99,0.00013606965246834888,0.0002003226411976097,1.0,1.0,1.0,1.0
31,bert-dataprovision,99,0.000300543017920063,0.0004970928821421694,1.0,1.0,1.0,0.9999999999999999
32,bert-email,97,9.4314447564744e-05,4.836646379165662e-05,1.0,1.0,1.0,1.0
33,bert-postalmail,99,0.00011288734463375607,8.372605516342446e-05,1.0,1.0,1.0000000000000002,1.0
34,bert-sms,97,0.00043422616545285564,0.00033077228484520066,1.0,1.0,1.0,1.0
35,bert-inprivacypolicy,98,0.00012650116226914658,3.1997984349020824e-05,1.0,1.0,1.0,1.0
36,bert-intentionalbreach,97,0.0006428532369682216,0.0003868190469802357,1.0,1.0,1.0,1.0
37,bert-partialservicerestriction,98,0.00020030705960986475,8.901962128220476e-05,1.0,1.0,0.9999999999999999,1.0000000000000002
38,bert-fullservicerestriction,99,0.0005796423378984293,8.980466145658283e-05,0.9871794871794872,1.0,0.9999999999999999,1.0
39,bert-legalcompliancepurpose,99,0.00032316377821987413,0.0005625121311517235,1.0,1.0,0.9999999999999998,1.0
40,bert-serviceprovisionpurpose,99,0.0004669469660116409,9.868317224004386e-05,1.0,1.0,1.0,0.9999999999999999
41,bert-serviceenhancementpurpose,98,0.0002273905119468942,3.127950637882293e-05,1.0,1.0,1.0,0.9999999999999998
42,bert-analyticspurpose,99,0.00013791874479773285,0.0002271316002437272,1.0,1.0,1.0,1.0
43,bert-researchpurpose,99,0.00020533609939674434,6.799732182116713e-05,1.0,1.0,1.0,1.0
44,bert-marketingpurpose,98,0.0002559182328288519,0.0002083741170761439,1.0,1.0,1.0,1.0
